price_main,title,rooms,area,floor,building_type,materials,year,district
1991600 грн,"вул. Депутатська, 32",2 кімнати,46 / 30 / 8 м²,поверх 2 з 5,хрущівка,цегляний будинок,1967,Академмістечко
3064000 грн,"вул. Доброхотова, 15",2 кімнати,57 / 29 / 9 м²,поверх 8 з 10,серія KП,цегляний будинок,1993,Академмістечко
3638500 грн,"просп. Палладіна, 24",3 кімнати,69 / 42 / 10 м²,поверх 1 з 9,серія 96,утеплена панель,1997,Академмістечко
3638500 грн,"просп. Палладіна, 24",3 кімнати,69 / 42 / 10 м²,поверх 4 з 9,серія 96,утеплена панель,1997,Академмістечко
7085500 грн,"бульв. Вернадського, 57",4 кімнати,163 / 86 / 12 м²,поверх 14 з 17,спец. проект,монолітно-каркасний,2004,Академмістечко
3025700 грн,"вул. Василя Стуса, 26",3 кімнати,69 / 40 / 8 м²,поверх 10 з 10,серія KП,цегляний будинок,1993,Академмістечко
5745000 грн,"бульв. Вернадського, 24",2 кімнати,65 / 33 / 13 м²,поверх 12 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
4787500 грн,"вул. Краснова, 19",2 кімнати,83 / 40 / 12 м²,поверх 12 з 17,спец. проект,монолітно-каркасний,2012,Академмістечко
5936500 грн,"просп. Палладіна, 18/30",3 кімнати,92 / 58 / 12 м²,поверх 14 з 16,спец. проект,цегляний будинок,2005,Академмістечко
3351250 грн,"вул. Краснова, 17",1 кімната,59.4 / 21.3 / 13.8 м²,поверх 8 з 16,спец. проект,монолітно-каркасний,2002,Академмістечко
2221400 грн,"бульв. Вернадського, 24",1 кімната,36.7 / 18.2 / 11.2 м²,поверх 17 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
2298000 грн,"просп. Перемоги, 106/2",4 кімнати,63 / 47 / 8 м²,поверх 4 з 5,хрущівка,цегляний будинок,1962,Академмістечко
2489500 грн,"просп. Перемоги, 116/1",2 кімнати,45 / 30 / 7 м²,поверх 5 з 9,чеський проект,панельні,1969,Академмістечко
938350 грн,"бульв. Вернадського, 63",1 кімната,23 / 13 / 4 м²,поверх 3 з 5,хрущівка,цегляний будинок,1962,Академмістечко
4710900 грн,"вул. Краснова, 19",3 кімнати,97.6 / 66.3 / 10.5 м²,поверх 2 з 17,спец. проект,монолітно-каркасний,2012,Академмістечко
4136400 грн,"вул. Хмельницька, 10",3 кімнати,91 / 52 / 12 м²,поверх 10 з 11,спец. проект,монолітно-каркасний,2003,Академмістечко
5362000 грн,"бульв. Вернадського, 24",3 кімнати,103 / 65 / 13.5 м²,поверх 12 з 24,спец. проект,монолітно-каркасний,2018,Академмістечко
2489500 грн,"пл. Святошинська, 1",1 кімната,48 / 16 / 13 м²,поверх 16 з 25,спец. проект,монолітно-каркасний,2006,Академмістечко
3136770 грн,"просп. Палладіна, 24",2 кімнати,54.6 / 31.1 / 7.6 м²,поверх 4 з 9,серія 96,утеплена панель,1997,Академмістечко
4481100 грн,"просп. Палладіна, 18/30",3 кімнати,81 / 48 / 10 м²,поверх 13 з 16,спец. проект,цегляний будинок,2005,Академмістечко
3787870 грн,"просп. Палладіна, 18/30",2 кімнати,64.3 / 33.4 / 12.4 м²,поверх 6 з 16,спец. проект,цегляний будинок,2005,Академмістечко
7506800 грн,"бульв. Вернадського, 24",4 кімнати,117 / 83 / 22 м²,поверх 16 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
2872500 грн,"бульв. Вернадського, 59",2 кімнати,61 / 40 / 15 м²,поверх 5 з 5,хрущівка,цегляний будинок,1961,Академмістечко
2566100 грн,"вул. Семашка, 16",3 кімнати,74 / 45 / 9 м²,поверх 10 з 16,серія КТ,утеплена панель,1982,Академмістечко
4979000 грн,"вул. Краснова, 17",3 кімнати,131 / 85 / 20 м²,поверх 10 з 18,спец. проект,монолітно-каркасний,2002,Академмістечко
