price_main,rooms,area,floor,building_type,materials,district,building_type_old,materials_old,district_old,house_age,price_per_meter,repair
1991600,2,46.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,56,43296,0.0
3638500,3,69.0,1,0.479425538604203,0.5646424733950354,0.806081108260693,серія 96,утеплена панель,Академмістечко,26,52732,0.0
7085500,4,163.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,19,43469,0.0
5745000,2,65.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,88385,1.0
4787500,2,83.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,11,57681,0.0
5936500,3,92.0,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,64527,1.0
3351250,1,59.4,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,21,56418,0.0
2221400,1,36.7,0,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,60529,1.0
2298000,4,63.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,61,36476,2.0
2489500,2,45.0,1,0.6550778971785186,0.7173560908995228,0.806081108260693,чеський проект,панельні,Академмістечко,54,55322,0.0
938350,1,23.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,61,40798,2.0
4710900,3,97.6,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,11,48267,0.0
4136400,3,91.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,20,45455,0.0
5362000,3,103.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,52058,0.0
2489500,1,48.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,17,51865,0.0
3136770,2,54.6,1,0.479425538604203,0.5646424733950354,0.806081108260693,серія 96,утеплена панель,Академмістечко,26,57450,0.0
4481100,3,81.0,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,55322,0.0
3787870,2,64.3,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,58909,1.0
7506800,4,117.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,64161,1.0
2872500,2,61.0,0,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,62,47090,0.0
2566100,3,74.0,1,0.5994847028790594,0.5646424733950354,0.806081108260693,серія КТ,утеплена панель,Академмістечко,41,34677,2.0
4979000,3,131.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,21,38008,2.0
2566100,3,68.0,1,0.2818428521222099,0.5646424733950354,0.806081108260693,БПС,утеплена панель,Академмістечко,48,37737,2.0
5936500,3,83.0,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,71524,1.0
957500,1,20.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,61,47875,0.0
2753770,3,87.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,31653,2.0
2183100,2,46.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,62,47459,0.0
14362500,5,236.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,19,60858,1.0
3906600,4,95.0,1,0.349598808135342,0.5646424733950354,0.806081108260693,серія Т,утеплена панель,Академмістечко,30,41122,2.0
2029900,2,64.81,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,31321,2.0
4557700,2,77.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,17,59191,1.0
2298000,2,60.0,0,0.6550778971785186,0.7173560908995228,0.806081108260693,чеський проект,панельні,Академмістечко,51,38300,2.0
1378800,2,44.0,0,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,63,31336,2.0
3447000,4,98.0,0,0.0,0.3894183423086505,0.806081108260693,совмін,цегляний будинок,Академмістечко,50,35173,2.0
1493700,1,33.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,51,45264,0.0
1915000,3,72.3,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,26487,2.0
2680962,3,75.0,1,0.0,0.3894183423086505,0.806081108260693,совмін,цегляний будинок,Академмістечко,50,35746,2.0
2298000,1,42.1,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,54584,0.0
2681000,2,71.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,37761,2.0
2489500,2,55.0,1,0.349598808135342,0.5646424733950354,0.806081108260693,серія Т,утеплена панель,Академмістечко,28,45264,0.0
2604400,2,58.18,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,44765,0.0
1723500,2,46.0,1,0.2818428521222099,0.5646424733950354,0.806081108260693,БПС,утеплена панель,Академмістечко,48,37467,2.0
1417100,1,28.0,0,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,55,50611,0.0
12000,1,26.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,45,462,2.0
6319500,3,92.0,1,0.0713678483400785,0.3894183423086505,0.806081108260693,спец. проект,цегляний будинок,Академмістечко,18,68690,1.0
1417100,1,36.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,55,39364,2.0
3178900,3,76.0,1,0.5994847028790594,0.5646424733950354,0.806081108260693,серія КТ,утеплена панель,Академмістечко,36,41828,2.0
2068200,2,46.0,1,0.8007650746487527,0.3894183423086505,0.806081108260693,хрущівка,цегляний будинок,Академмістечко,59,44961,0.0
2259700,2,45.0,1,0.2818428521222099,0.5646424733950354,0.806081108260693,БПС,утеплена панель,Академмістечко,48,50216,0.0
2604400,2,57.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,45691,0.0
2757600,1,45.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,19,61280,1.0
6511000,3,100.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,18,65110,1.0
4098100,2,64.7,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,63340,1.0
